year,doy,groundradiation,tmin,tmax,vp,windspeed,rain,RSEvap,RSTran,RSLAI,RSCut
2002,151,20,7.6,13.1,0.79,2.1,9.6,0,0,0.1,0
2002,152,28.6,8.3,15.1,0.77,1.7,0,0,0,0.1,0
2002,153,27,9.5,16.8,0.67,1.4,0,0,0,0.1,0
2002,154,25.5,11.4,20.9,0.57,2.6,0,0,0,0.1,0
2002,155,7.2,12.7,17.7,0.65,1.7,4.4,0,0,0.1,0
2002,156,27.3,13.6,24.1,0.6,2.2,3.4,0,0,0.1,0
2002,157,28.8,17,25.5,0.46,1.7,0.1,0,0,0.1,0
2002,158,29.1,14,24.4,0.71,1.8,0.1,0,0,0.1,0
2002,159,29.9,13.3,21.9,0.59,1.7,0,0,0,0.1,0
2002,160,22.3,13.3,22.5,0.67,1.6,0.4,0,0,0.1,0
2002,161,12,10.9,20.2,1,1.2,12.1,0,0,0.1,0
2002,162,12.2,9.8,14.4,0.77,1.3,4.4,0,0,0.18,0
2002,163,10.8,8.6,13.7,0.81,0.8,32.4,0,0,0.2,0
2002,164,23.7,8.5,14.4,0.75,2,5,0,0,0.3,0
2002,165,25,10.4,15.3,0.74,2.5,12.6,0,0,0.5,0
2002,166,5.9,11.4,14.8,0.74,2.2,3.8,0,0,0.8,0
2002,167,22.8,11.7,16.7,0.77,2,0,0,0,0.9,0
2002,168,8.9,13.2,18.2,0.8,1.4,3.7,0,0,1,0
2002,169,10.7,11.5,19.6,0.96,1.5,0.1,0,0,1.1,0
2002,170,19.8,12,15.8,0.7,3,0.6,0,0,1.3,0
2002,171,21,11.8,16.8,0.71,1.6,0.1,0,0,1.4,0
2002,172,24.3,10.7,16.6,0.76,1.5,3.1,0,0,1.5,0
2002,173,7.3,11.8,16,0.76,1.3,22.4,0,0,1.7,0
2002,174,11,11.6,13.7,0.66,4.9,10.8,0,0,2,0
2002,175,21.9,10.6,15.5,0.71,2.1,0,0,0,2.3,0
2002,176,8.3,10.4,13.7,0.71,2.7,2.7,0,0,2.6,0
2002,177,10,8.9,14.4,0.83,2.8,9.2,0,0,2.9,0
2002,178,26.7,8.6,13.7,0.72,2.6,3.7,0,0,3.03,0
2002,179,25.1,10.2,16,0.79,5.5,3.8,0,0,3.2,0
2002,180,20.9,9.5,13.7,0.71,3.4,11,0,0,3.3,0
2002,181,21.5,9.2,14,0.78,3.2,0.4,0,0,3.4,0
2002,182,15.7,8.8,16.8,0.92,0.8,2.5,0,0,3.5,0
2002,183,11.1,9.5,13.7,0.75,1.9,69.3,0,0,3.55,0
2002,184,25.4,9.4,16.1,0.83,1.5,0,0,0,3.6,0
2002,185,27.7,10.2,15.8,0.76,3.1,0,0,0,3.65,0
2002,186,21.3,10.2,14.3,0.65,2.2,0.2,0,0,3.71,0
2002,187,21.4,9.9,14.7,0.7,1.5,0.1,0,0,3.65,0
2002,188,12.1,10.3,16,0.82,1.7,14.6,0,0,3.6,0
2002,189,6.2,10.8,14.7,0.74,1.6,4.6,0,0,3.55,0
2002,190,4.8,13.8,19.2,0.85,1.1,12.2,0,0,3.55,0
2002,191,12.8,13.8,20.2,0.91,1.5,6.6,0,0,3.5,0
2002,192,13.5,11.1,16.6,0.85,2.8,42.1,0,0,3.46,0
2002,193,24.2,11.2,17.7,0.81,1.8,1,0,0,3.45,0
2002,194,16.7,12,18.6,0.81,1.1,0.2,0,0,3.45,0
2002,195,10.8,13.8,18.8,0.78,0.7,0,0,0,3.44,0
2002,196,20.8,12.7,18.4,0.79,0.9,0.1,0,0,3.43,0
2002,197,10.7,12.7,16.9,0.74,2,0.6,0,0,3.46,0
2002,198,20.3,12.7,16.4,0.65,5.2,0,0,0,3.48,0
2002,199,19.8,12.7,17,0.72,4.2,0,0,0,3.5,0
2002,200,16.1,12.6,16.5,0.74,3.7,0,0,0,3.5,0
2002,201,20.3,12.3,17.3,0.77,2.1,0,0,0,3.55,0
2002,202,9.8,13.7,18.2,0.78,2.4,5.6,0,0,3.6,0
2002,203,8.8,11.1,14.1,0.67,6,0.1,0,0,3.69,0
